,1. open,2. high,3. low,4. close,5. volume,Symbol
2023-08-07,169.49,173.34,169.36,173.1,17736444.0,JNJ
2023-08-04,170.34,172.68,167.89,169.04,23415053.0,JNJ
2023-08-03,169.95,171.32,169.67,170.64,17425230.0,JNJ
2023-08-02,168.85,171.24,168.85,169.91,14599264.0,JNJ
2023-08-01,166.365,169.09,166.06,168.89,15811545.0,JNJ
2023-07-31,169.69,170.22,166.71,167.53,22632720.0,JNJ
2023-07-28,174.0,175.36,173.23,174.48,14138839.0,JNJ
2023-07-27,172.18,174.29,172.04,173.69,12446386.0,JNJ
2023-07-26,172.0,173.85,171.4,172.72,14288173.0,JNJ
2023-07-25,170.45,172.68,169.75,172.39,13790053.0,JNJ
2023-07-24,171.5,173.82,170.99,171.08,15155446.0,JNJ
2023-07-21,168.18,170.82,168.18,170.19,12079999.0,JNJ
2023-07-20,161.94,169.14,161.3,168.38,21892881.0,JNJ
2023-07-19,157.91,160.41,157.33,158.74,7522557.0,JNJ
2023-07-18,159.07,160.89,158.19,159.06,6332509.0,JNJ
2023-07-17,159.75,159.87,158.15,159.07,5488030.0,JNJ
2023-07-14,159.18,160.225,158.98,159.87,5362237.0,JNJ
2023-07-13,158.0,159.13,157.41,158.81,6401743.0,JNJ
2023-07-12,158.94,158.94,157.88,158.08,6940442.0,JNJ
2023-07-11,159.13,160.3,157.6,158.63,6606956.0,JNJ
2023-07-10,159.43,160.3,159.0,159.51,5739364.0,JNJ
2023-07-07,160.47,161.04,159.2,159.25,7022226.0,JNJ
2023-07-06,162.25,162.37,161.0,161.6,6333687.0,JNJ
2023-07-05,162.99,163.92,162.73,162.81,7225523.0,JNJ
2023-07-03,164.34,164.39,162.96,163.35,4033713.0,JNJ
2023-06-30,164.86,165.94,164.35,165.52,7580141.0,JNJ
2023-06-29,162.64,164.32,162.23,164.1,4547514.0,JNJ
2023-06-28,163.2,163.2,161.91,162.96,6780435.0,JNJ
2023-06-27,163.68,163.88,162.44,163.29,4927711.0,JNJ
2023-06-26,164.98,164.98,161.33,163.63,6978804.0,JNJ
2023-06-23,166.11,166.27,165.03,165.48,9450724.0,JNJ
2023-06-22,163.9,165.72,163.79,165.62,5486186.0,JNJ
2023-06-21,163.58,164.92,162.69,163.88,7177549.0,JNJ
2023-06-20,164.26,165.31,163.81,164.13,7996117.0,JNJ
2023-06-16,164.48,164.99,163.87,164.23,13426606.0,JNJ
2023-06-15,162.05,163.91,161.43,163.73,7138314.0,JNJ
2023-06-14,161.6,162.08,160.98,161.56,6699139.0,JNJ
2023-06-13,159.73,160.84,159.15,160.74,6066788.0,JNJ
2023-06-12,160.0,160.25,158.73,159.9,6511261.0,JNJ
2023-06-09,160.42,160.725,159.465,160.01,6264779.0,JNJ
2023-06-08,158.5,160.42,157.82,160.26,5818952.0,JNJ
2023-06-07,158.1,158.8,157.44,158.52,6504285.0,JNJ
2023-06-06,159.58,159.61,157.4,158.18,5073642.0,JNJ
2023-06-05,156.75,158.64,156.75,158.32,6430500.0,JNJ
2023-06-02,154.72,157.31,154.09,156.97,7659721.0,JNJ
2023-06-01,154.54,155.04,153.15,154.54,7901348.0,JNJ
2023-05-31,154.695,155.69,153.85,155.06,10598694.0,JNJ
2023-05-30,153.97,155.38,153.32,154.37,5593080.0,JNJ
2023-05-26,154.69,155.275,154.2,154.35,6845396.0,JNJ
2023-05-25,156.05,156.29,153.72,154.41,6886056.0,JNJ
2023-05-24,157.08,157.14,155.92,156.66,5015148.0,JNJ
2023-05-23,157.1,158.27,156.37,156.81,5793009.0,JNJ
2023-05-22,158.0,159.14,156.78,156.87,5675927.0,JNJ
2023-05-19,158.59,159.9344,158.14,158.91,6527141.0,JNJ
2023-05-18,158.66,158.93,157.56,158.48,5172966.0,JNJ
